key,season,league,team,avg_att,max_att,min_att,total_att,finish,games_played,points,wins,draws,losses,goals_for,goals_against,goal_diff
Premier League|Manchester United|2014/15,2014/15,Premier League,Manchester United,75335,75454,75112,1431362,4,38,70,20,10,8,62,37,25
Premier League|Manchester United|2014/15,2014/15,Premier League,Manchester United,75335,75454,75112,1431362,3,19,44,14,2,3,41,15,26
Premier League|Manchester United|2014/15,2014/15,Premier League,Manchester United,75335,75454,75112,1431362,7,19,26,6,8,5,21,22,-1
Premier League|Arsenal|2014/15,2014/15,Premier League,Arsenal,59992,60081,59900,1139843,3,38,75,22,9,7,71,36,35
Premier League|Arsenal|2014/15,2014/15,Premier League,Arsenal,59992,60081,59900,1139843,4,19,41,12,5,2,41,14,27
Premier League|Arsenal|2014/15,2014/15,Premier League,Arsenal,59992,60081,59900,1139843,3,19,34,10,4,5,30,22,8
Premier League|Newcastle United|2014/15,2014/15,Premier League,Newcastle United,50359,52315,46884,956823,15,38,39,10,9,19,40,63,-23
Premier League|Newcastle United|2014/15,2014/15,Premier League,Newcastle United,50359,52315,46884,956823,13,19,26,7,5,7,26,27,-1
Premier League|Newcastle United|2014/15,2014/15,Premier League,Newcastle United,50359,52315,46884,956823,19,19,13,3,4,12,14,36,-22
Premier League|Manchester City|2014/15,2014/15,Premier League,Manchester City,45366,45919,44564,861961,2,38,79,24,7,7,83,38,45
Premier League|Manchester City|2014/15,2014/15,Premier League,Manchester City,45366,45919,44564,861961,2,19,45,14,3,2,44,14,30
Premier League|Manchester City|2014/15,2014/15,Premier League,Manchester City,45366,45919,44564,861961,2,19,34,10,4,5,39,24,15
Premier League|Liverpool|2014/15,2014/15,Premier League,Liverpool,44659,44736,44405,848519,6,38,62,18,8,12,52,48,4
Premier League|Liverpool|2014/15,2014/15,Premier League,Liverpool,44659,44736,44405,848519,6,19,35,10,5,4,30,20,10
Premier League|Liverpool|2014/15,2014/15,Premier League,Liverpool,44659,44736,44405,848519,6,19,27,8,3,8,22,28,-6
Premier League|Sunderland|2014/15,2014/15,Premier League,Sunderland,43157,47563,39077,819985,16,38,38,7,17,14,31,53,-22
Premier League|Sunderland|2014/15,2014/15,Premier League,Sunderland,43157,47563,39077,819985,19,19,20,4,8,7,16,27,-11
Premier League|Sunderland|2014/15,2014/15,Premier League,Sunderland,43157,47563,39077,819985,13,19,18,3,9,7,15,26,-11
Premier League|Chelsea|2014/15,2014/15,Premier League,Chelsea,41546,41629,41098,789376,1,38,87,26,9,3,73,32,41
Premier League|Chelsea|2014/15,2014/15,Premier League,Chelsea,41546,41629,41098,789376,1,19,49,15,4,-,36,9,27
Premier League|Chelsea|2014/15,2014/15,Premier League,Chelsea,41546,41629,41098,789376,1,19,38,11,5,3,37,23,14
Premier League|Everton|2014/15,2014/15,Premier League,Everton,38406,39621,34035,729711,11,38,47,12,11,15,48,50,-2
Premier League|Everton|2014/15,2014/15,Premier League,Everton,38406,39621,34035,729711,11,19,28,7,7,5,27,21,6
Premier League|Everton|2014/15,2014/15,Premier League,Everton,38406,39621,34035,729711,11,19,19,5,4,10,21,29,-8
Premier League|Tottenham Hotspur|2014/15,2014/15,Premier League,Tottenham Hotspur,35728,36130,34008,678824,5,38,64,19,7,12,58,53,5
Premier League|Tottenham Hotspur|2014/15,2014/15,Premier League,Tottenham Hotspur,35728,36130,34008,678824,8,19,33,10,3,6,31,24,7
Premier League|Tottenham Hotspur|2014/15,2014/15,Premier League,Tottenham Hotspur,35728,36130,34008,678824,4,19,31,9,4,6,27,29,-2
Premier League|West Ham United|2014/15,2014/15,Premier League,West Ham United,34871,34977,34125,662552,12,38,47,12,11,15,44,47,-3
Premier League|West Ham United|2014/15,2014/15,Premier League,West Ham United,34871,34977,34125,662552,10,19,31,9,4,6,25,18,7
Premier League|West Ham United|2014/15,2014/15,Premier League,West Ham United,34871,34977,34125,662552,15,19,16,3,7,9,19,29,-10
