"name","state","fips","pop2010","pop2000","age_under_5","age_under_18","age_over_65","female","white","black","native","asian","pac_isl","two_plus_races","hispanic","white_not_hispanic","no_move_in_one_plus_year","foreign_born","foreign_spoken_at_home","hs_grad","bachelors","veterans","mean_work_travel","housing_units","home_ownership","housing_multi_unit","median_val_owner_occupied","households","persons_per_household","per_capita_income","median_household_income","poverty","private_nonfarm_establishments","private_nonfarm_employment","percent_change_private_nonfarm_employment","nonemployment_establishments","firms","black_owned_firms","native_owned_firms","asian_owned_firms","pac_isl_owned_firms","hispanic_owned_firms","women_owned_firms","manufacturer_shipments_2007","mercent_whole_sales_2007","sales","sales_per_capita","accommodation_food_service","building_permits","fed_spending","area","density","smoking_ban"
"Abbeville County","South Carolina",45001,25417,26167,6,22.8,16.5,51.5,69.6,28.3,0.2,0.3,NA,1.1,1,69.1,88.9,1.4,2.9,76.8,15.3,2151,25.1,12079,77.4,7.7,85900,9875,2.49,16653,33143,20.7,356,4713,-29.4,1494,1385,19.1,NA,NA,NA,NA,33.4,657498,NA,71936,2841,10963,19,169972,490.48,51.8,"none"
"Acadia Parish","Louisiana",22001,61773,58861,7.6,27.3,12.8,51.2,79.5,18.1,0.3,0.2,NA,1.3,1.7,78.6,87.9,0.7,16.4,69.5,10.9,3495,28.9,25387,69.8,7.1,86700,21984,2.75,18116,37261,20.1,1114,12485,4.9,3681,4289,NA,NA,NA,NA,1.4,25.4,NA,NA,525956,8808,40790,108,459879,655.12,94.3,"partial"
"Accomack County","Virginia",51001,33164,38305,5.9,20.9,19.1,51.3,65.3,28.1,0.4,0.6,0.1,1.6,8.6,61.1,91.5,6,8.7,78.9,18,3378,20,21002,74.1,5.6,149800,14085,2.39,22766,41372,15.6,818,9424,8.6,2267,2944,6,NA,NA,NA,NA,23.1,526157,59400,298001,7749,48144,89,449275,449.5,73.8,"none"
"Ada County","Idaho",16001,392365,300904,7.2,26.4,10.5,49.9,90.3,1.1,0.7,2.4,0.2,2.8,7.1,86.5,79.2,5.8,9,92.9,35,32352,19.3,159471,69.6,18,214500,145584,2.55,27915,55835,10.2,12394,166239,8.5,29533,42344,0.4,1,1.3,NA,2.1,25.4,4942388,6006918,5855102,15720,795953,1285,3122360,1052.58,372.8,"partial"
"Adair County","Missouri",29001,25607,24977,5.6,19.4,12.5,52.3,94,1.6,0.3,1.8,0.1,1.7,2,92.8,72.9,2.5,3.9,88.1,25.5,1727,13.9,11263,61.1,24.3,97800,9584,2.33,17098,31176,26,700,8302,-5.4,1460,2066,NA,NA,1.4,NA,NA,28.2,NA,54741,310089,12590,38667,17,203872,567.32,45.1,"none"
"Adair County","Missouri",29001,25607,24977,5.6,19.4,12.5,52.3,94,1.6,0.3,1.8,0.1,1.7,2,92.8,72.9,2.5,3.9,88.1,25.5,1727,13.9,11263,61.1,24.3,97800,9584,2.33,17098,31176,26,700,8302,-5.4,1460,2066,NA,NA,1.4,NA,NA,28.2,NA,54741,310089,12590,38667,17,203872,567.32,45.1,"none"
"Adair County","Missouri",29001,25607,24977,5.6,19.4,12.5,52.3,94,1.6,0.3,1.8,0.1,1.7,2,92.8,72.9,2.5,3.9,88.1,25.5,1727,13.9,11263,61.1,24.3,97800,9584,2.33,17098,31176,26,700,8302,-5.4,1460,2066,NA,NA,1.4,NA,NA,28.2,NA,54741,310089,12590,38667,17,203872,567.32,45.1,"none"
"Adair County","Missouri",29001,25607,24977,5.6,19.4,12.5,52.3,94,1.6,0.3,1.8,0.1,1.7,2,92.8,72.9,2.5,3.9,88.1,25.5,1727,13.9,11263,61.1,24.3,97800,9584,2.33,17098,31176,26,700,8302,-5.4,1460,2066,NA,NA,1.4,NA,NA,28.2,NA,54741,310089,12590,38667,17,203872,567.32,45.1,"comprehensive"
"Adair County","Iowa",19001,7682,8243,5.8,22.5,21.4,50.4,98.4,0.1,0.1,0.3,0,0.7,1.3,97.7,91.4,0.5,2.3,91.4,13.6,791,21,3698,75.8,9.6,93800,3409,2.28,23497,45202,10.6,176,1591,-30.9,595,745,NA,NA,NA,NA,NA,NA,0,29361,49644,6546,4128,4,78811,569.27,13.5,"none"
"Adair County","Iowa",19001,7682,8243,5.8,22.5,21.4,50.4,98.4,0.1,0.1,0.3,0,0.7,1.3,97.7,91.4,0.5,2.3,91.4,13.6,791,21,3698,75.8,9.6,93800,3409,2.28,23497,45202,10.6,176,1591,-30.9,595,745,NA,NA,NA,NA,NA,NA,0,29361,49644,6546,4128,4,78811,569.27,13.5,"none"
